TTSRec00001|Author of the danger trail, Philip Steels, etc.
TTSRec00002|Not at this particular case, Tom, apologized Whittemore.
TTSRec00003|For the twentieth time that evening the two men shook hands.
TTSRec00004|Lord, but I'm glad to see you again, Phil.
TTSRec00005|Will we ever forget it.
TTSRec00006|God bless 'em, I hope I'll go on seeing them forever.
TTSRec00007|And you always want to see it in the superlative degree.
TTSRec00008|Gad, your letter came just in time.
TTSRec00009|He turned sharply, and faced Gregson across the table.
TTSRec00010|I'm playing a single hand in what looks like a losing game.
TTSRec00011|If I ever needed a fighter in my life I need one now.
TTSRec00012|Gregson shoved back his chair and rose to his feet.
TTSRec00013|He was a head shorter than his companion, of almost delicate physique.
TTSRec00014|Now you're coming down to business, Phil, he exclaimed.
TTSRec00015|It's the aurora borealis.
TTSRec00016|There's Fort Churchill, a rifle-shot beyond the ridge, asleep.
TTSRec00017|From that moment his friendship for Belize turns to hatred and jealousy.
TTSRec00018|There was a change now.
TTSRec00019|I followed the line of the proposed railroad, looking for chances.
TTSRec00020|Clubs and balls and cities grew to be only memories.
TTSRec00021|It fairly clubbed me into recognizing it.
TTSRec00022|Hardly were our plans made public before we were met by powerful opposition.
TTSRec00023|A combination of Canadian capital quickly organized and petitioned for the same privileges.
TTSRec00024|It was my reports from the north which chiefly induced people to buy.
TTSRec00025|I was about to do this when cooler judgment prevailed.
TTSRec00026|It occurred to me that there would have to be an accounting.
TTSRec00027|To my surprise he began to show actual enthusiasm in my favor.
TTSRec00028|Robbery, bribery, fraud, 
TTSRec00029|Their forces were already moving into the north country.
TTSRec00030|I had faith in them.
TTSRec00031|They were three hundred yards apart.
TTSRec00032|Since then some mysterious force has been fighting us at every step.
TTSRec00033|He unfolded a long typewritten letter, and handed it to Gregson.
TTSRec00034|Men of Selden's stamp don't stop at women and children.
TTSRec00035|He stopped, and Philip nodded at the horrified question in his eyes.
TTSRec00036|She turned in at the hotel.
TTSRec00037|I was the only one who remained sitting.
TTSRec00038|We'll have to watch our chances.
TTSRec00039|The ship should be in within a week or ten days.
TTSRec00040|I suppose you wonder why she is coming up here.
TTSRec00041|Meanwhile I'll go out to breathe a spell.
TTSRec00042|How could he explain his possession of the sketch.
TTSRec00043|It seemed nearer to him since he had seen and talked with Gregson.
TTSRec00044|Her own betrayal of herself was like tonic to Philip.
TTSRec00045|He moved away as quietly as he had come.
TTSRec00046|The girl faced him, her eyes shining with sudden fear.
TTSRec00047|Close beside him gleamed the white fangs of the wolf-dog.
TTSRec00048|He looked at the handkerchief more, closely.
TTSRec00049|Gregson was asleep when he re-entered the cabin.
TTSRec00050|In spite of their absurdity the words affected Philip curiously.
TTSRec00051|The lace was of a delicate ivory color, faintly tinted with yellow.
TTSRec00052|It was a curious coincidence.
TTSRec00053|Suddenly his fingers closed tightly over the handkerchief.
TTSRec00054|There was nothing on the rock.
TTSRec00055|Philip stood undecided, his ears strained to catch the slightest sound.
TTSRec00056|Pearce's little eyes were fixed on him shrewdly.
TTSRec00057|I have no idea, replied Philip.
TTSRec00058|I came for information more out of curiosity than anything else.
TTSRec00059|His immaculate appearance was gone.
TTSRec00060|Anyway, no one saw her like that.
TTSRec00061|Philip snatched at the letter which Gregson held out to him.
TTSRec00062|The men stared into each other's face.
TTSRec00063|Yes, it was a man who asked, a stranger.
TTSRec00064|The fourth and fifth days passed without any developments.
TTSRec00065|They closed now until his fingers were like cords of steel.
TTSRec00066|He saw Jeanne falter for a moment.
TTSRec00067|Surely I will excuse you, she cried.
TTSRec00068|In a flash Philip followed its direction.
TTSRec00069|It was his intention to return to Eileen and her father.
TTSRec00070|He would first hunt up Gregson and begin his work there.
TTSRec00071|What was the object of your little sensation.
TTSRec00072|But who was Eileen's double.
TTSRec00073|The promoter's eyes were heavy, with little puffy bags under them.
TTSRec00074|And now, down there, Eileen was waiting for him.
TTSRec00075|There has been a change, she interrupted him.
TTSRec00076|The gray eyes faltered; the flush deepened.
TTSRec00077|It is the fire, partly, she said.
TTSRec00078|Then, and at supper, he tried to fathom her.
TTSRec00079|It was a large canoe.
TTSRec00080|What if Jeanne failed him.
TTSRec00081|What if she did not come to the rock.
TTSRec00082|His face was streaming with blood.
TTSRec00083|A shadow was creeping over Pierre's eyes.
TTSRec00084|Scarcely had he uttered the name when Pierre's closing eyes shot open.
TTSRec00085|A trickle of fresh blood ran over his face.
TTSRec00086|Death had come with terrible suddenness.
TTSRec00087|Philip bent lower, and stared into the face of the dead man.
TTSRec00088|He made sure that the magazine was loaded, and resumed his paddling.
TTSRec00089|The nightglow was treacherous to shoot by.
TTSRec00090|The singing voice approached rapidly.
TTSRec00091|His blood grew hot with rage at the thought.
TTSRec00092|He went down in midstream, searching the shadows of both shores.
TTSRec00093|For a full minute he crouched and listened.
TTSRec00094|He had barely entered this when he saw the glow of a fire.
TTSRec00095|A big canvas tent was the first thing to come within his vision.
TTSRec00096|Perhaps she had already met her fate a little deeper in the forest.
TTSRec00097|Then you can arrange yourself comfortably among these robes in the bow.
TTSRec00098|Shall I carry you.
TTSRec00099|A maddening joy pounded in his brain.
TTSRec00100|You must sleep, he urged.
TTSRec00101|You, you would not keep the truth from me.
TTSRec00102|He will follow us soon.
TTSRec00103|But there came no promise from the bow of the canoe.
TTSRec00104|She was sleeping under his protection as sweetly as a child.
TTSRec00105|Only, it is so wonderful, so almost impossible to believe.
TTSRec00106|The emotion which she had suppressed burst forth now in a choking sob.
TTSRec00107|If you only could know how I thank you.
TTSRec00108|He waded into the edge of the water and began scrubbing himself.
TTSRec00109|Do you know that you are shaking my confidence in you.
TTSRec00110|Much, replied Jeanne, as tersely.
TTSRec00111|Instead, he joined her; and they ate like two hungry children.
TTSRec00112|He was wounded in the arm.
TTSRec00113|I suppose you picked that lingo up among the Indians.
TTSRec00114|Her words sent a strange chill through Philip.
TTSRec00115|He had no excuse for the feelings which were aroused in him.
TTSRec00116|Was it the rendezvous of those who were striving to work his ruin.
TTSRec00117|She added, with genuine sympathy in her face and voice.
TTSRec00118|Pierre obeys me when we are together.
TTSRec00119|Jeanne was turning the bow shoreward.
TTSRec00120|My right foot feels like that of a Chinese debutante.
TTSRec00121|They ate dinner at the fifth, and rested for two hours.
TTSRec00122|Two years ago I gave up civilization for this.
TTSRec00123|She had died from cold and starvation.
TTSRec00124|It was Jeanne singing softly over beyond the rocks.
TTSRec00125|He was determined now to maintain a more certain hold upon himself.
TTSRec00126|Each day she became a more vital part of him.
TTSRec00127|It was a temptation, but he resisted it.
TTSRec00128|This one hope was destroyed as quickly as it was born.
TTSRec00129|Her face was against his breast.
TTSRec00130|She was his now, forever.
TTSRec00131|Providence had delivered him through the maelstrom.
TTSRec00132|A cry of joy burst from Philip's lips.
TTSRec00133|Philip began to feel that he had foolishly overestimated his strength.
TTSRec00134|He obeyed the pressure of her hand.
